"Sr. No.","hospitalname","Category","Health Care Provider Type","address First Line","state","district","subdristrict","pincode","telephone","totalnumofbeds","mobilenumber","website","googlemapcorridinate_lati","googlemapcorridinate_longi","facilities","ayush"
"192","Delhi Government Allopathic Dispensary, Maujpur","Public/ Government","Dispensary","Gali No.2, Arjun Mohalla, Maujpur","Delhi","Shahdara","NA","NA","011 22911835","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"193","Delhi Government Allopathic Dispensary, West Jyoti Nagar","Public/ Government","Dispensary","B-19/3, West Jyoti Nagar","Delhi","Shahdara","NA","110093","011 22810757","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"194","Seed PUHC, Kabir Nagar","Public/ Government","Dispensary","A-174, Gali No.4, Kabir Nagar","Delhi","Shahdara","NA","NA","NA","NA","09213120523","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"195","Seed PUHC, Amar Colony","Public/ Government","Dispensary","A-8/540, Harijan Basti, Gokulpuri, Amar Colony","Delhi","Shahdara","NA","110094","NA","NA","09968274109","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"196","Delhi Government Allopathic Dispensary, Saboli","Public/ Government","Dispensary","H.no7 Gali No.7, Saboli Village Near Nand Nagri","Delhi","Shahdara","NA","110093","011 22344646","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"197","Seed PUHC, Mahavir Enclave Part - III","Public/ Government","Dispensary","D-293, Gali No. 55, MahavirEnclave Part - III, Seetapuri","Delhi","South West Delhi","NA","110059","011 25639157","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"198","Delhi Government Allopathic Dispensary, Pindwala Kalan","Public/ Government","Dispensary","Near Government Senior Secondary School, Pindwala Kalan","Delhi","South West Delhi","NA","110043","011 28013068","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"199","Delhi Government Allopathic Dispensary, Rawta","Public/ Government","Dispensary","Near Community Centre,Phirni Road, Village Rawta","Delhi","South West Delhi","NA","NA","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"200","Delhi Government Allopathic Dispensary, Chhawla","Public/ Government","Dispensary","Near Radha KrisshanMandir, Village Chhawla","Delhi","South West Delhi","NA","110071","011 25316755","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"201","Delhi Government Allopathic Dispensary, Kanganheri Village","Public/ Government","Dispensary","Kanganheri Village","Delhi","South West Delhi","NA","NA","011 25316651","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"202","Delhi Government Allopathic Dispensary, Jhatikara","Public/ Government","Dispensary","Inside Community Centre,Village Jhatikara","Delhi","South West Delhi","NA","110043","011 25319141","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"203","Delhi Government Allopathic Dispensary, Nangli","Public/ Government","Dispensary","Sakravati, Near MCDPrimary School, Village, Nangli Sakravati","Delhi","South West Delhi","NA","110043","011 25322468","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"204","Seed PUHC, Ranaji Enclave","Public/ Government","Dispensary","H. No. 13-B, Gali No. 1, Ranaji Enclave","Delhi","South West Delhi","NA","NA","011 25322585","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"205","Seed PUHC, Qutub Vihar","Public/ Government","Dispensary","Santa Enclave, Phase – I, Qutub Vihar","Delhi","South West Delhi","NA","NA","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"206","Delhi Government Allopathic Dispensary, Dwarka Sector-17","Public/ Government","Dispensary","Near CRPF School, Sector – 17, Dwarka","Delhi","South West Delhi","NA","110075","011 25018177","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"207","Delhi Government Allopathic Dispensary, Dindarpur Village","Public/ Government","Dispensary","Near Bus Stand, Village Deendarpur","Delhi","South West Delhi","NA","110043","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"208","Delhi Government Allopathic Dispensary, Dwarka Sector-14","Public/ Government","Dispensary","Near Sec-14, Metro Station","Delhi","South West Delhi","NA","110078","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"209","Seed PUHC, Kakrola","Public/ Government","Dispensary","B-33, Shivani Enclave, Kakrola Mor","Delhi","South West Delhi","NA","NA","011 25330087","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"210","Delhi Government Allopathic Dispensary, Dwarka Sector – 12","Public/ Government","Dispensary","Opposite Bensups Hospital, Sector – 12, Dwarka","Delhi","South West Delhi","NA","110075","011 28033844","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"211","Delhi Government Allopathic Dispensary,Dwarka Sector – 19","Public/ Government","Dispensary","Near Ambrahi Village Bus Stand, Sector – 19, Dwarka","Delhi","South West Delhi","NA","110075","011 28041571","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"212","Delhi Government Allopathic Dispensary, Dwarka Sector – 10","Public/ Government","Dispensary","Near Golok Dham, Sector – 10, Dwarka","Delhi","South West Delhi","NA","110075","011 25081423","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"213","Delhi Government Allopathic Dispensary, Dwarka Court","Public/ Government","Dispensary","Inside Court Complex, Dwarka","Delhi","South West Delhi","NA","110075","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"214","Seed PUHC, Dharmpura","Public/ Government","Dispensary","RZ-94, Block R, Roshan Garden, Dharampura, Najafgarh","Delhi","South West Delhi","NA","110043","011 25322280","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"215","Seed PUHC, Gopal Nagar","Public/ Government","Dispensary","RZ-3-31, Gopal Nagar","Delhi","South West Delhi","NA","NA","011 28010977","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"216","Delhi Government Allopathic Dispensary, Jharoda Kalan","Public/ Government","Dispensary","Near Bus Stand, Village Jharoda Kalan","Delhi","South West Delhi","NA","110072","011 25315506","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"217","Delhi Government Allopathic Dispensary, Dhansa","Public/ Government","Dispensary","Near Bus Stand, VillageDhansa","Delhi","South West Delhi","NA","110073","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"218","Delhi Government Allopathic Dispensary, Malik Pur Village","Public/ Government","Dispensary","Near Bus Stand, Village Malik Pur","Delhi","South West Delhi","NA","110073","011 25318152","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"219","Delhi Government Allopathic Dispensary, Mundela Khurd","Public/ Government","Dispensary","Inside Chaupal, Village Mundela Khurd","Delhi","South West Delhi","NA","110073","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"220","Delhi Government Allopathic Dispensary, Issapur","Public/ Government","Dispensary","Near Community Centre(Red Color Building), Village Issapur","Delhi","South West Delhi","NA","NA","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"221","Delhi Government Allopathic Dispensary, Bamnoli","Public/ Government","Dispensary","Inside Chaupal Village,Bamnauli","Delhi","South West Delhi","NA","NA","011 25314311","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"222","Delhi Government Allopathic Dispensary, Kapashera","Public/ Government","Dispensary","Opposite Fun’n FoodVillage Club, Village Kapashera","Delhi","South West Delhi","NA","NA","011 25063139","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"223","Delhi Government Allopathic Dispensary, Raj Nagar Part-II","Public/ Government","Dispensary","Near Dada Dev Bus Stand, (Mother Dairy), Sector-8Dwarka","Delhi","South West Delhi","NA","NA","011 25365499","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"224","Delhi Government Allopathic Dispensary, Mangla Puri","Public/ Government","Dispensary","Mangla Puri Sadh Nagar","Delhi","South West Delhi","NA","NA","011 25056509","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"225","Delhi Government Allopathic Dispensary, Dwarka Sector -2","Public/ Government","Dispensary","Near Bhaskaracharya College, Sector – 2, Dwarka","Delhi","South West Delhi","NA","NA","011 25082913","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"226","Delhi Government Allopathic Dispensary, Tikri Kalan","Public/ Government","Dispensary","Khadi Gram Building, V & PO Tikri Kalan","Delhi","West Delhi","NA","110041","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"227","Delhi Government Allopathic Dispensary, Mundka","Public/ Government","Dispensary","Multipurpose Community Centre, Mundka village","Delhi","West Delhi","NA","110041","011 28344658","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"228","Delhi Government Allopathic Dispensary, Hiran Kudna","Public/ Government","Dispensary","Village & P.O Hiran Kudna","Delhi","West Delhi","NA","110041","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"229","Delhi Government Allopathic Dispensary, Nangloi","Public/ Government","Dispensary","C-II/8145 Camp No.-2 JJ Colony, Nangloi","Delhi","West Delhi","NA","110041","011 25474141","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"230","Seed PUHC, Kamruddin Nagar","Public/ Government","Dispensary","A-38, Yadav Park, Kamruddin Nagar, Rohtak Road, Nangloi","Delhi","West Delhi","NA","110041","NA","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"231","Seed PUHC, Nilothi","Public/ Government","Dispensary","HNo. 83, Nilothi","Delhi","West Delhi","NA","110041","011 28364463","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"232","Delhi Government Allopathic Dispensary, Jawalapuri","Public/ Government","Dispensary","Camp No.-4, BBlock,Jwalapuri","Delhi","West Delhi","NA","110041","011 25271997","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"233","Seed PUHC, Chander Vihar","Public/ Government","Dispensary","A-187, Chander Vihar nilothi Extension, Nangloi","Delhi","West Delhi","NA","110041","011 28363348","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"234","Seed PUHC, Nihal Vihar","Public/ Government","Dispensary","RZK- 2,464A,Near Hanuman Mandir 50Ft. Road, Nangloi Nihal Vihar","Delhi","West Delhi","NA","110041","011 25261133","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"235","Delhi Government Allopathic Dispensary, Paschim Puri","Public/ Government","Dispensary","Janta Flat 1- to 4, Pocket -1, Paschim puri","Delhi","West Delhi","NA","110063","011 25212575","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"236","Delhi Government Allopathic Dispensary, Paschim Vihar","Public/ Government","Dispensary","A-2 Block, Paschim Vihar","Delhi","West Delhi","NA","110063","011 25269261","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"237","Delhi Government Allopathic Dispensary, Baljit Nagar","Public/ Government","Dispensary","T-215, Baljeet Nagar","Delhi","West Delhi","NA","110008","011 25873118","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"238","Delhi Government Allopathic Dispensary, Prem Nagar","Public/ Government","Dispensary","Basti Vikas Kendra, Near Community center, OppositeGovt. School, Prem Nagar","Delhi","West Delhi","NA","110008","011 25875497","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"239","Delhi Government Allopathic Dispensary, New Ranjit Nagar","Public/ Government","Dispensary","XYZ Block, New Ranjit Nagar","Delhi","West Delhi","NA","110008","011 25705777","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"240","Delhi Government Allopathic Dispensary, Ranjit Nagar","Public/ Government","Dispensary","DDA Flats Opposite Satyam Cinema, Ranjit Nagar","Delhi","West Delhi","NA","110008","011 25703157","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"241","Seed PUHC Sudarshan Park","Public/ Government","Dispensary","B-311, Sudarshan Park","Delhi","West Delhi","NA","110015","NA","NA","09818006101","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"242","Delhi Government Allopathic Dispensary, Raghubir Nagar","Public/ Government","Dispensary","Opposite Holy Child School, Raghubir Nagar","Delhi","West Delhi","NA","110027","011 25190375","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"243","Delhi Government Allopathic Dispensary, Madipur","Public/ Government","Dispensary","F-Block, Madipur Colony","Delhi","West Delhi","NA","110063","011 25213570","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"244","Delhi Government Allopathic Dispensary, Chowkhandi","Public/ Government","Dispensary","B- Block Near Gurudwara, J J Colony, Chowkhandi","Delhi","West Delhi","NA","110018","011 28334276","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"245","Delhi Government Allopathic Dispensary, Khyala","Public/ Government","Dispensary","A- Block, Near SBI, Khyala","Delhi","West Delhi","NA","110018","011 25983861","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
"246","Delhi Government Allopathic Dispensary, Nangli Jalib","Public/ Government","Dispensary","WZ-54, Janak Puri","Delhi","West Delhi","NA","110058","011 25598637","NA","NA","http://www.delhi.gov.in/wps/wcm/connect/962fb98047c7314f859fa5c4b9092a3d/dispensaries.pdf?MOD=AJPERES&lmod=1404459986&CACHEID=962fb98047c7314f859fa5c4b9092a3d","NA","NA","NA","NA"
